1795.07,1800,91.4986,1.08274,-2.67466,-0.0222629,-0.211187,-0.135857,-0.274011,0.737226,-1.36896,-0.388618,0.919033,0.530123,-0.0977893
1795.07,1800,91.6983,1.10614,-2.71217,-0.0282574,-0.211129,-0.135975,-0.273328,0.83624,-1.55013,-0.440118,0.919057,0.530132,-0.0977925
1795.12,1800,92.6973,1.22352,-2.8997,-0.058285,-0.210879,-0.136559,-0.270596,1.33166,-2.45663,-0.697854,0.919191,0.530188,-0.0978101
1795.16,1800,93.6963,1.34143,-3.08702,-0.0883749,-0.210693,-0.137134,-0.268927,1.82714,-3.36331,-0.955736,0.919347,0.530253,-0.0978307
1795.21,1800,94.6954,1.45991,-3.27415,-0.118529,-0.210567,-0.137706,-0.268227,2.32269,-4.27016,-1.21379,0.919523,0.530328,-0.0978549
1795.25,1800,95.6944,1.579,-3.46108,-0.148752,-0.210494,-0.138279,-0.268408,2.81831,-5.17722,-1.47204,0.919716,0.530412,-0.0978834
1795.29,1800,96.6935,1.69876,-3.6478,-0.179045,-0.210469,-0.138859,-0.269388,3.314,-6.0845,-1.73051,0.919924,0.530503,-0.0979168
1795.34,1800,97.6925,1.81922,-3.83432,-0.209416,-0.210487,-0.139451,-0.271087,3.80976,-6.992,-1.98922,0.920143,0.530602,-0.0979553
1795.38,1800,98.6915,1.94046,-4.02061,-0.239868,-0.210543,-0.140061,-0.273433,4.30558,-7.89973,-2.24819,0.920372,0.530707,-0.0979995
1795.42,1800,99.6918,2.06267,-4.20689,-0.270446,-0.210633,-0.140694,-0.27636,4.80209,-8.80883,-2.50776,0.92061,0.530818,-0.0980496
1795.47,1800,100.69,2.18548,-4.39245,-0.301043,-0.210752,-0.141354,-0.279793,5.29745,-9.71593,-2.767,0.920852,0.530934,-0.0981057
1795.51,1800,101.689,2.3094,-4.57796,-0.331782,-0.210895,-0.14205,-0.283685,5.79349,-10.6244,-3.02688,0.921099,0.531055,-0.0981679
1795.55,1800,102.688,2.43435,-4.76317,-0.362631,-0.211058,-0.142784,-0.287974,6.28961,-11.5331,-3.28709,0.921347,0.531181,-0.0982365
1795.6,1800,103.687,2.56043,-4.94804,-0.393601,-0.211237,-0.143565,-0.292609,6.7858,-12.4421,-3.54764,0.921597,0.531311,-0.0983112
1795.64,1800,104.687,2.68784,-5.13277,-0.424739,-0.211429,-0.144397,-0.29755,7.28268,-13.3525,-3.80889,0.921845,0.531445,-0.0983922
1795.68,1800,105.685,2.81622,-5.31665,-0.455941,-0.211628,-0.145283,-0.302733,7.77842,-14.2609,-4.06987,0.92209,0.531582,-0.0984789
